名	语种	原名	作者页	作品	页数	字数	状态
穆齐尔	de	Robert Musil	Seite:Lerne lachen ohne zu weinen 223.jpg	works2	2	15649	ok
策兰	de	Paul Celan		无作者页	0	0	未找到
君特·格拉斯	de	Günter Grass		无作者页	0	0	未找到
普希金	ru	Александр Пушкин	Автор:Александр Сергеевич Пушкин	works123	189	7399913	ok
果戈里	ru	Николай Гоголь	Автор:Николай Васильевич Гоголь	works138	212	11698301	ok
屠格涅夫	ru	Иван Тургенев	Автор:Иван Сергеевич Тургенев	works150	203	7783133	ok
陀思妥耶夫斯基	ru	Фёдор Достоевский	Автор:Фёдор Михайлович Достоевский	works106	544	25679339	ok
托尔斯泰	ru	Лев Толстой	Автор:Лев Николаевич Толстой	works150	569	19415842	ok
布尔加科夫	ru	Михаил Булгаков		无作者页	0	0	未找到
帕斯捷尔纳克	ru	Борис Пастернак	Автор:Борис Леонидович Пастернак	works16	16	148142	ok
索尔仁尼琴	ru	Александр Солженицын	Автор:Николай Онуфриевич Лосский	works14	11	191352	ok
巴别尔	ru	Исаак Бабель	Автор:Исаак Эммануилович Бабель	works11	9	214640	ok
纳博科夫	ru	Владимир Набоков / Vladimir Nabokov	Автор:Владимир Владимирович Набоков	works80	70	297354	ok
但丁	de	Dante Alighieri	Seite:Opere minori di Dante Alighieri - Page 256.gif	works2	2	15143	ok
薄伽丘	de	Giovanni Boccaccio	Seite:De DZfG 1893 09 021.jpg	works1	1	3755	ok
皮兰德娄	de	Luigi Pirandello	Seite:Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit (Dritte Fassung).pdf/19	works2	2	189994	ok
卡尔维诺	de	Italo Calvino		无作者页	0	0	未找到
埃科	de	Umberto Eco		无作者页	0	0	未找到
费兰特	de	Elena Ferrante		无作者页	0	0	未找到
安徒生	de	Hans Christian Andersen	Seite:Die Heimath in der neuen Welt, Zweiter Band.djvu/193	works3	16	1186375	ok
